,w,h,label
0,143.275848389,114.068969727,False
1,368.999938965,341.999938965,False
2,368.0,354.0,True
3,421.362915039,294.259094238,False
4,399.435577393,220.116943359,False
5,85.5862121582,189.282821655,False
6,393.537719727,259.370910645,False
7,331.999938965,308.999938965,False
8,426.713256836,214.61126709,False
9,350.999938965,252.999969482,False
10,384.235626221,257.138763428,False
11,130.581176758,118.939468384,False
12,135.954238892,125.603942871,True
13,309.0,260.0,True
14,320.907775879,206.95602417,False
15,287.0,230.0,True
16,146.0,179.0,False
17,479.0,639.0,False
18,479.0,639.0,False
19,479.0,639.0,False
20,479.0,639.0,False
21,479.0,639.0,False
22,479.0,639.0,False
23,479.0,639.0,False
24,479.0,639.0,False
25,479.0,639.0,False
26,479.0,639.0,False
27,479.0,639.0,False
28,479.0,639.0,False
29,479.0,639.0,False
30,479.0,639.0,False
31,479.0,639.0,False
32,479.0,639.0,False
33,479.0,639.0,False
34,479.0,639.0,False
35,479.0,639.0,False
36,479.0,639.0,False
37,479.0,639.0,False
38,479.0,639.0,False
39,479.0,639.0,False
40,479.0,639.0,False
41,479.0,639.0,False
42,479.0,639.0,False
43,479.0,639.0,False
44,479.0,639.0,False
45,479.0,639.0,False
46,479.0,639.0,False
47,479.0,639.0,False
48,479.0,639.0,False
49,479.0,639.0,False
50,139.0,77.0,False
51,226.999969482,248.999969482,True
52,328.125152588,243.721298218,False
53,313.479553223,260.815795898,True
54,217.999969482,276.999938965,False
55,479.0,639.0,False
56,479.0,639.0,False
57,479.0,639.0,False
58,479.0,639.0,False
59,479.0,639.0,False
60,479.0,639.0,False
61,479.0,639.0,False
62,479.0,639.0,False
63,479.0,639.0,False
64,479.0,639.0,False
65,479.0,639.0,False
66,479.0,639.0,False
67,479.0,639.0,False
68,479.0,639.0,False
69,479.0,639.0,False
70,479.0,639.0,False
71,479.0,639.0,False
72,479.0,639.0,False
73,479.0,639.0,False
74,479.0,639.0,False
75,479.0,639.0,False
76,479.0,639.0,False
77,479.0,639.0,False
78,479.0,639.0,False
79,479.0,639.0,False
80,479.0,639.0,False
81,479.0,639.0,False
82,479.0,639.0,False
83,479.0,639.0,False
84,479.0,639.0,False
85,479.0,639.0,False
86,479.0,639.0,False
87,479.0,639.0,False
88,479.0,639.0,False
89,479.0,639.0,False
90,479.0,639.0,False
91,479.0,639.0,False
92,479.0,639.0,False
93,479.0,639.0,False
94,479.0,639.0,False
95,479.0,639.0,False
96,479.0,639.0,False
97,479.0,639.0,False
98,479.0,639.0,False
99,479.0,639.0,False
100,479.0,639.0,False
101,479.0,639.0,False
102,201.381103516,194.879104614,True
103,479.0,639.0,False
104,479.0,639.0,False
105,479.0,639.0,False
106,479.0,639.0,False
107,479.0,639.0,False
108,479.0,639.0,False
109,278.356140137,74.4646911621,False
110,479.0,639.0,False
111,479.0,639.0,False
112,479.0,639.0,False
113,479.0,639.0,False
114,479.0,639.0,False
115,479.0,639.0,False
116,479.0,639.0,False
117,479.0,639.0,False
118,479.0,639.0,False
119,479.0,639.0,False
120,479.0,639.0,False
121,479.0,639.0,False
122,479.0,639.0,False
123,479.0,639.0,False
124,479.0,639.0,False
125,479.0,639.0,False
126,479.0,639.0,False
127,479.0,639.0,False
128,479.0,639.0,False
129,479.0,639.0,False
130,479.0,639.0,False
131,479.0,639.0,False
132,479.0,639.0,False
133,479.0,639.0,False
134,479.0,639.0,False
135,479.0,639.0,False
136,479.0,639.0,False
137,479.0,639.0,False
138,479.0,639.0,False
139,479.0,639.0,False
140,479.0,639.0,False
141,479.0,639.0,False
142,479.0,639.0,False
143,479.0,639.0,False
144,479.0,639.0,False
145,479.0,639.0,False
146,73.0,185.0,False
147,166.0,321.0,False
148,298.999938965,355.999938965,True
149,348.0,360.0,True
150,75.2957000732,64.0719528198,True
151,83.0,62.0,False
152,76.2394638062,70.154838562,True
153,79.1176452637,57.9411773682,False
154,80.103843689,62.3468284607,True
155,89.3442840576,59.30311203,False
156,69.0,71.0,True
157,79.0,53.0,False
158,479.0,639.0,False
159,479.0,639.0,False
160,479.0,639.0,False
161,479.0,639.0,False
162,479.0,639.0,False
163,479.0,639.0,False
164,479.0,639.0,False
165,479.0,639.0,False
166,479.0,639.0,False
167,479.0,639.0,False
168,479.0,639.0,False
169,479.0,639.0,False
170,479.0,639.0,False
171,479.0,639.0,False
172,479.0,639.0,False
173,479.0,639.0,False
174,479.0,639.0,False
175,479.0,639.0,False
176,479.0,639.0,False
177,479.0,639.0,False
178,479.0,639.0,False
179,479.0,639.0,False
180,479.0,639.0,False
181,95.0,104.0,True
182,290.999938965,188.999969482,False
183,332.363311768,150.141967773,False
184,327.053100586,179.677520752,False
185,58.1377677917,75.5791015625,False
186,62.9325027466,72.8320007324,True
187,58.9475212097,76.827331543,False
188,76.0,61.0,True
189,59.6503486633,77.1133041382,False
190,77.0,60.0,True
191,59.5786018372,76.1110687256,False
192,77.0,60.0,True
193,59.3505172729,76.9455871582,False
194,76.0,60.0,True
195,59.2607078552,76.9716110229,False
196,77.0,60.0,True
197,59.5320892334,75.4585723877,False
198,78.0,60.0,True
199,59.9502067566,78.5032119751,False
200,78.0,60.0,True
201,59.7501029968,76.1110687256,False
202,76.0,60.0,True
203,59.7501029968,75.5622711182,False
204,77.0,60.0,True
205,59.7501029968,76.1110687256,False
206,77.0,60.0,True
207,59.7501029968,75.5622711182,False
208,76.0,60.0,True
209,59.6503486633,75.519317627,False
210,314.0,370.0,True
211,315.0,382.0,False
212,432.214447021,267.09375,False
